page,imdb_id,title,year,rating,rating_count,runtime_minutes,certificate,genres,plot,url
21,tt1517260,The Host,2013,5.8,121399,125,PG-13,"Action, Adventure, Drama","When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie Stryder risks everything to protect the people she cares about.",https://www.imdb.com/title/tt1517260/
21,tt0404203,Little Children,2006,7.5,121385,137,R,"Drama, Romance","The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts.",https://www.imdb.com/title/tt0404203/
21,tt0084805,Tootsie,1982,7.4,121236,116,PG,"Comedy, Drama, Romance","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",https://www.imdb.com/title/tt0084805/
21,tt4572514,Patriots Day,2016,7.3,121231,133,R,"Action, Crime, Drama","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",https://www.imdb.com/title/tt4572514/
21,tt0367959,Hannibal Rising,2007,6.1,120983,121,R,"Adventure, Crime, Drama",Trauma and tragedy during World War II warp young Hannibal Lecter's mind.,https://www.imdb.com/title/tt0367959/
21,tt0292963,Before the Devil Knows You're Dead,2007,7.3,120850,117,R,"Crime, Drama, Thriller","When two brothers organize the robbery of their parents' jewelry store, the job goes horribly wrong triggering a series of events that send them, their father and the wife of one brother barreling toward a shattering climax.",https://www.imdb.com/title/tt0292963/
21,tt0390384,Primer,2004,6.7,120611,77,PG-13,"Drama, Sci-Fi, Thriller","Four friends/fledgling entrepreneurs, knowing that there's something bigger and more innovative than the different error-checking devices they've built, wrestle over their new invention.",https://www.imdb.com/title/tt0390384/
21,tt26743210,How to Train Your Dragon,2025,7.7,120595,125,PG,"Action, Adventure, Comedy","As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to both species forging a new future together.",https://www.imdb.com/title/tt26743210/
21,tt1924429,Trance,2013,6.9,120590,101,R,"Crime, Drama, Mystery",An art auctioneer mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.,https://www.imdb.com/title/tt1924429/
21,tt1702439,Safe Haven,2013,6.7,120556,115,PG-13,"Drama, Romance, Thriller","A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.",https://www.imdb.com/title/tt1702439/
21,tt0236493,The Mexican,2001,6.1,120416,123,R,"Adventure, Comedy, Drama","A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways.",https://www.imdb.com/title/tt0236493/
21,tt0929632,Precious,2009,7.3,120407,110,Not Rated,Drama,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that she can re-route her life in a better direction.",https://www.imdb.com/title/tt0929632/
21,tt0086567,WarGames,1983,7.1,120327,114,PG,"Action, Drama, Sci-Fi","A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",https://www.imdb.com/title/tt0086567/
21,tt1232200,That's My Boy,2012,5.6,120183,116,R,"Comedy, Drama","While in his teens, Donny fathered a son, Todd, and raised him as a single parent until Todd's 18th birthday. Now Donny resurfaces just before Todd's wedding after years apart, sending the groom-to-be's world crashing down.",https://www.imdb.com/title/tt1232200/
22,tt0313542,Runaway Jury,2003,7.1,120148,127,PG-13,"Crime, Drama, Thriller","A juror, a lawyer and a mysterious woman stand in the way of a man trying to manipulate an explosive trial.",https://www.imdb.com/title/tt0313542/
22,tt4465564,Fifty Shades Darker,2017,4.6,120116,118,R,"Drama, Mystery, Romance","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",https://www.imdb.com/title/tt4465564/
22,tt1131729,The Boat That Rocked,2009,7.3,119972,117,R,"Comedy, Drama, Music","A band of rogue DJs that captivated Britain, playing the music that defined a generation and standing up to a government that wanted classical music, and nothing else, on the airwaves.",https://www.imdb.com/title/tt1131729/
22,tt9071322,Dark Waters,2019,7.6,119853,126,PG-13,"Biography, Drama, History",A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,https://www.imdb.com/title/tt9071322/
22,tt0120889,What Dreams May Come,1998,7,119794,113,PG-13,"Drama, Fantasy, Romance","Chris Nielsen dies in an accident, and enters Heaven. But when he discovers that his beloved wife Annie has killed herself out of grief over the loss, he embarks on an afterlife adventure to reunite with her.",https://www.imdb.com/title/tt0120889/
22,tt0243133,The Man Who Wasn't There,2001,7.5,119762,116,R,"Crime, Drama","A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning, but his plan goes terribly wrong.",https://www.imdb.com/title/tt0243133/
22,tt1682180,Stoker,2013,6.7,119639,99,R,"Drama, Mystery, Thriller","After India's father dies, her Uncle Charlie, who she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him.",https://www.imdb.com/title/tt1682180/
